species_id,field_name,field_value,gap_type,recommended_action,current_source_ids
BCNPPD-0001,Plant Type,Forb,candidate_value_needs_field_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0001;SRC-0002;SRC-0024
BCNPPD-0001,Life Cycle,Perennial,candidate_value_needs_field_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0001;SRC-0002;SRC-0024
BCNPPD-0001,Sun,Full sun to part sun,candidate_value_needs_field_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0001;SRC-0002;SRC-0024
BCNPPD-0001,Soil Moisture,Dry to mesic,candidate_value_needs_field_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0001;SRC-0002;SRC-0024
BCNPPD-0001,Urban Toughness,5,candidate_value_needs_field_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0001;SRC-0002;SRC-0024
BCNPPD-0055,Plant Type,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0037
BCNPPD-0055,Life Cycle,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0037
BCNPPD-0055,Sun,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0037
BCNPPD-0055,Soil Moisture,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0037
BCNPPD-0055,Urban Toughness,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0037
BCNPPD-0056,Plant Type,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0038
BCNPPD-0056,Life Cycle,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0038
BCNPPD-0056,Sun,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0038
BCNPPD-0056,Soil Moisture,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0038
BCNPPD-0056,Urban Toughness,,missing_value_needs_review,Add field-specific reviewed source attribution before promoting this value or using it in scores.,SRC-0038
