species_id,provider_id,botanical_name,supplier_status,product_url,source_id,review_status,notes
BCNPPD-0001,PROV-SATIN,Achillea millefolium,available,https://satinflower.ca/products/achillea-millefolium,SRC-0002,pending_review,Demo supplier observation for user testing only.
BCNPPD-0006,PROV-SATIN,Tellima grandiflora,available,https://satinflower.ca/products/tellima-grandiflora,SRC-0135,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0023,PROV-SATIN,Claytonia sibirica,available,https://satinflower.ca/products/claytonia-sibirica,SRC-0061,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0055,PROV-SATIN,Acmispon americanus,available,https://satinflower.ca/products/acmispon-americanus-spanish-clover,SRC-0037,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0056,PROV-SATIN,Alaska oniongrass,available,https://satinflower.ca/products/melica-subulata,SRC-0038,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0057,PROV-SATIN,American winter cress,available,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,SRC-0039,pending_review,Taxonomy review recommended before approval.
BCNPPD-0058,PROV-SATIN,Antennaria howellii,available,https://satinflower.ca/products/antennaria-howellii,SRC-0040,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0059,PROV-SATIN,Awl-fruited sedge,available,https://satinflower.ca/products/carex-stipata,SRC-0041,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0060,PROV-SATIN,Barestem desert-parsley,available,https://satinflower.ca/products/lomatium-nudicaule,SRC-0042,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0061,PROV-SATIN,Beach pea,available,https://satinflower.ca/products/lathyrus-japonicus,SRC-0043,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0062,PROV-SATIN,Beaked sedge,available,https://satinflower.ca/products/carex-utriculata-beaked-sedge,SRC-0044,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0063,PROV-SATIN,Bicoloured lupine,available,https://satinflower.ca/products/lupinus-bicolor,SRC-0045,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0064,PROV-SATIN,Blue wildrye,available,https://satinflower.ca/products/elymus-glaucus,SRC-0046,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0065,PROV-SATIN,Blue-eyed grass,available,https://satinflower.ca/products/sisyrinchium-idahoense,SRC-0047,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0066,PROV-SATIN,Broad-leaved shootingstar,available,https://satinflower.ca/products/primula-hendersonii,SRC-0048,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0067,PROV-SATIN,Broad-leaved stonecrop,available,https://satinflower.ca/products/sedum-spathulifolium,SRC-0049,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0068,PROV-SATIN,California aster,available,https://satinflower.ca/products/symphyotrichum-chilense,SRC-0050,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0069,PROV-SATIN,California brome,available,https://satinflower.ca/products/bromus-carinatus,SRC-0051,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0070,PROV-SATIN,California oatgrass,available,https://satinflower.ca/products/danthonia-californica,SRC-0052,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0071,PROV-SATIN,Canada goldenrod,available,https://satinflower.ca/products/solidago-lepida,SRC-0053,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0072,PROV-SATIN,Canada mint,available,https://satinflower.ca/products/mentha-canadensis,SRC-0054,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0073,PROV-SATIN,Carex lenticularis var lipocarpa,available,https://satinflower.ca/products/carex-lenticularis-var-lipocarpa,SRC-0055,pending_review,Taxonomy review recommended before approval.
BCNPPD-0074,PROV-SATIN,Carex lyngbyei,available,https://satinflower.ca/products/carex-lyngbyei,SRC-0056,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0075,PROV-SATIN,Chamerion angustifolium ssp angustifolium,available,https://satinflower.ca/products/chamerion-angustifolium,SRC-0057,pending_review,Taxonomy review recommended before approval.
BCNPPD-0076,PROV-SATIN,Chocolate lily,available,https://satinflower.ca/products/fritillaria-affinis,SRC-0058,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0077,PROV-SATIN,Clarkia amoena,available,https://satinflower.ca/products/clarkia-amoena,SRC-0059,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0078,PROV-SATIN,Claytonia perfoliata,unavailable,https://satinflower.ca/products/claytonia-perfoliata,SRC-0060,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0079,PROV-SATIN,Clustered tarweed,available,https://satinflower.ca/products/madia-glomerata,SRC-0062,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0080,PROV-SATIN,Coastal mugwort,available,https://satinflower.ca/products/artemisia-suksdorfii,SRC-0063,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0081,PROV-SATIN,Columbia brome,available,https://satinflower.ca/products/bromus-vulgaris,SRC-0064,pending_review,Draft supplier row; approve only with the species decision.
